"Q5_1"	"Q5_2"	"Q5_3"	"Q5_4"	"Q5_5"	"Q5_6"	"Q6box_1"	"Q6box_2"	"Q6box_3"	"Q6box_4"	"Q6_score"	"Q10_1"	"Q10_2"	"Q10_3"	"Q10_4"	"Q35_ERP"	"Q40_TAA"	"Q36_ITcount"	"Q37_ITassist"	"Q38_Taxcount"	"Q39_TAAexpert"	"Q22_box1"	"Q22_box2"	"Q22_box3"	"Q22_box4"	"Q22_box5"	"Q22_box6"	"Q22_box7"	"Q22_box8"	"Q22_box9"	"Q22_box10"	"Q23_1"	"Q23_2"	"Q26"	"Q24_box1"	"Q24_box2"	"Q24_box3"	"Q24_box4"	"Q27"	"Q29"	"Q41"	"Q30_1"	"Q30_2"	"Q30_3"	"Q30_4"	"Q31_1"	"Q31_2"	"Q31_3"	"Q32_1"	"Q32_2"	"Q32_3"	"Q32_4"	"Q42"	"Q45"	"Q43"	"Q44"	"init_composite"	"rout_composite"	"integrate_composite"	"manag_composite"	"comp_composite"	"gov_composite"
"24"	5	5	4	4	5	5	1	NA	NA	NA	NA	1	1	1	1	1	0	3	0	10	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5	NA	NA	3	NA	1	1	1	3	3	5	5	5	4	1	1	1	1	1	3	5	"Chief Accounting Officer"	"Senior Director, Tax"	0.652755255122976	-1.41256884361455	-0.757555736513889	-0.114278431978209	0.0260055730157352	-2.9542482363538
"25"	5	5	5	5	4	4	1	2	NA	4	1	3	3	1	1	1	0	3	1	23	0	1	NA	3	4	NA	NA	NA	NA	NA	NA	2	2	6	NA	NA	NA	4	2	1	1	4	4	5	6	2	3	3	5	3	3	2	1	6	"CFO"	"Senior Vice President, Director of Tax"	0.646236193763119	-0.923504712080757	-0.757555861872187	-0.864009845690203	-0.941383605522868	0.280626374369143
"26"	3	5	3	6	6	6	1	2	3	NA	3	4	4	2	2	1	0	3	2	19	4	1	NA	3	4	5	6	7	NA	NA	NA	3	3	6	NA	2	3	NA	1	1	2	3	3	5	5	2	3	3	4	3	2	2	1	8	"Sr VP Finance "	""	-1.00251322128656	0.475857752389177	-0.182119052040334	-0.114278431978209	-0.941383605522868	-0.103255009933145
"27"	4	5	3	5	5	5	NA	NA	NA	NA	3	4	4	3	3	1	0	0	0	40	8	1	2	NA	NA	NA	NA	7	8	NA	NA	3	1	NA	NA	NA	NA	4	3	3	NA	1	3	3	NA	1	1	1	6	6	6	6	3	2	"CFO"	"VP of Tax"	0.57846216327443	0.595789127487514	-0.537219040556288	1.21296317787713	-0.941382259185064	-0.218107546222885
"28"	3	2	5	5	3	5	NA	2	NA	NA	NA	2	3	1	1	NA	NA	0	0	30	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	6	NA	NA	3	NA	2	NA	NA	4	5	5	NA	5	5	3	6	6	6	6	3	1.5	"Controller and Chief Accounting Officer"	"Chief Tax Officer"	-0.0562508788990857	-0.923504675939295	-0.757555861872187	-0.864009379092031	0.909333533195394	-0.218107546222885
"29"	1	1	1	1	3	3	1	NA	NA	NA	1	1	1	1	1	0	0	3	0	6	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5	NA	2	3	4	3	6	4	1	1	3	NA	3	3	3	3	3	3	3	3	5	"CFO"	"VP of Tax"	-3.47292609947225	-1.41256884361455	-0.757555736513889	2.75943724533619	-0.941383156296467	-0.0780020838256319
"30"	1	3	2	4	4	5	1	NA	NA	4	1	2	3	1	1	NA	1	NA	NA	21	4	1	NA	3	NA	5	NA	NA	NA	NA	NA	3	3	6	NA	2	3	4	2	NA	NA	4	2	3	NA	6	4	1	5	4	3	6	3	2	"SVP Controller & CAO"	"VP, Corporate Tax"	-0.436386794758015	-0.923504675939295	-0.182119052040334	-0.161712044590547	-0.780151615800722	0.806577829486366
"31"	2	4	2	5	5	5	1	2	NA	NA	3	4	3	2	2	1	1	3	1	40	10	1	2	3	NA	5	NA	7	NA	NA	NA	1	1	6	NA	NA	NA	4	3	5	NA	3	2	2	3	4	4	4	5	3	3	2	3	3	"CFO"	"SVP tax"	-0.299946637045703	0.253947718779266	-0.757555736513889	-0.306224834745247	-0.94138226730138	0.280626374369143
"32"	5	4	5	5	5	5	1	NA	3	NA	2	3	3	3	3	1	0	2	1	12	5	1	2	3	4	5	NA	NA	NA	NA	NA	4	3	4	NA	NA	NA	4	3	5	4	3	3	3	3	2	4	5	4	3	3	4	1	2	"CFO"	""	0.652754740820198	0.0819072265308103	0.949947749781374	-0.306223109838666	-0.00564242011304634	0.76148123904088
"33"	4	4	5	5	5	5	1	2	NA	NA	2	4	3	4	4	1	0	2	2	20	3	1	NA	3	NA	NA	6	7	NA	NA	NA	4	4	6	NA	2	3	4	3	4	4	4	4	2	NA	3	3	3	4	6	3	3	5	0.16	"CFO"	"VP, Head of Global Tax "	0.57846224384805	0.410426158521739	2.37869143448253	-0.54522536396109	-0.941383156296467	0.314728339443571
